province,Population,GDP,GDP_per_capita,Districts,Cells,year
North Central,1.2340371287278422,14523.866260811008,11769.391635552758,2.0,13.0,2021
North Western,2.2097867017411352,27127.87704634042,12276.242329164994,2.0,17.0,2021
Northern,1.071453865840703,13687.074413097489,12774.301208347499,5.0,23.0,2021
Sabaragamuwa,3.6992927872308754,48478.22501439894,13104.727796008696,2.0,8.0,2021
Southern,3.4460922339881233,48356.29562316749,14032.21165882879,3.0,18.0,2021
Uva,0.5982581295683843,7314.16264945124,12225.76391018384,1.0,3.0,2021
Western,7.421531900213688,121096.28348938834,16316.885127974941,3.0,9.0,2021
Central,1.317578943732294,15365.850002472676,11662.185461879022,3.0,7.0,2022
Eastern,1.1797571643184654,18696.36423622541,15847.637803518763,3.0,14.0,2022
North Central,1.2198866999779914,13436.27583858953,11014.363742822954,2.0,13.0,2022
North Western,2.2551222734384813,25471.553909714563,11294.97686654347,2.0,17.0,2022
Northern,1.0724031623470365,12848.173440062079,11980.730653519211,5.0,23.0,2022
Sabaragamuwa,3.666774889807245,45385.64520830143,12377.537910620758,2.0,8.0,2022
Southern,3.440064119113435,45139.933872192436,13121.82921864427,3.0,18.0,2022
Uva,0.6178325283559246,7020.737420399741,11363.495928390472,1.0,3.0,2022
Western,7.483074562491401,112496.52975888627,15033.463694558175,3.0,9.0,2022
